shortcode,media_id,creation_time (seconds wrt IG epoch),published_time (unix),published_time (utc),epoch_estimate (utc),is_multiple,count,is_video,vid_duration,off_by
B97iBvnHUSI,2268556490734130000,270433007.6,1584653029,2020-03-19 21:23:49,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B9ApgciHsiZ,2251982363252670000,268457217.6,1582677239,2020-02-26 0:33:59,2011-08-24 21:07:01,TRUE,5,Contains at least one video,None,1
B9cwKdsnLkR,2259892938347430000,269400231.6,1583620253,2020-03-07 22:30:53,2011-08-24 21:07:01,TRUE,4,FALSE,None,1
B9fLG9FHoz5,2260574394375900000,269481467.5,1583701551,2020-03-08 21:05:51,2011-08-24 21:08:03,FALSE,None,TRUE,40.735,63
B9fZsvaniHZ,2260638563695470000,269489117.1,1583709138,2020-03-08 23:12:18,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B9gvRTNnP2H,2261014909986600000,269533981.1,1583754002,2020-03-09 11:40:02,2011-08-24 21:07:00,TRUE,10,Contains at least one video,None,0
B9i2lLVHioD,2261610012191110000,269604922.8,1583824944,2020-03-10 7:22:24,2011-08-24 21:07:01,TRUE,10,FALSE,None,1
B9kbf_bHJV5,2262053858507000000,269657833.4,1583877855,2020-03-10 22:04:15,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
B9mdRTAHXCk,2262624594783200000,269725870.5,1583946008,2020-03-11 17:00:08,2011-08-24 21:08:57,FALSE,None,TRUE,196.48,117
B9N4vFmnBnX,2255708514818990000,268901409.5,1583121543,2020-03-02 3:59:03,2011-08-24 21:08:53,FALSE,None,TRUE,7.803,113
B9NJTAGnWUH,2255499876582120000,268876537.9,1583096559,2020-03-01 21:02:39,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B9oNvhDnNwB,2263119252667820000,269784838.3,1584004860,2020-03-12 9:21:00,2011-08-24 21:07:01,TRUE,8,FALSE,None,1
B9SJjyGnlHP,2256908404664460000,269044447.5,1583264469,2020-03-03 19:41:09,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
B9UmNAXHGRZ,2257597332727820000,269126574.1,1583346615,2020-03-04 18:30:15,2011-08-24 21:07:20,FALSE,None,TRUE,3.966,20
B9Vn0BOHIpR,2257885886733390000,269160972.4,1583380994,2020-03-05 4:03:14,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B9Vuje3nc06,2257915536662710000,269164507,1583384550,2020-03-05 5:02:30,2011-08-24 21:07:23,FALSE,None,TRUE,28.35,23
B9xQiGAnOPx,2265664799203190000,270088291.1,1584308405,2020-03-15 21:40:05,2011-08-24 21:08:33,FALSE,None,TRUE,3.1,93
B9z3I6VnjXO,2266397542451130000,270175640.9,1584396008,2020-03-16 22:00:08,2011-08-24 21:12:47,FALSE,None,TRUE,57.713,347
B9Zsm7gnRJO,2259032877387550000,269297704.4,1583517743,2020-03-06 18:02:23,2011-08-24 21:07:18,FALSE,None,TRUE,28.141,18
Ba4TrHhFq3S,1637144990441710000,195162891.2,1509382912,2017-10-30 17:01:52,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Ba4YTALl9_e,1637165323530000000,195165315.1,1509385336,2017-10-30 17:42:16,2011-08-24 21:07:00,FALSE,None,TRUE,60.018,0
BaAznoalfn8,1621522889680750000,193300591.7,1507520613,2017-10-09 3:43:33,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BaEtB-plcrw,1622619813842370000,193431355.2,1507651376,2017-10-10 16:02:56,2011-08-24 21:07:00,FALSE,None,TRUE,60.018,0
BaH52zuF5hV,1623520645727360000,193538742.7,1507758764,2017-10-11 21:52:44,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BaH6u-WFTMI,1623524505426410000,193539202.9,1507759224,2017-10-11 22:00:24,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BamlHIGFavt,1632155132417650000,194568053.8,1508788075,2017-10-23 19:47:55,2011-08-24 21:07:01,FALSE,None,TRUE,59.435,1
BaMxXHQlWiB,1624890658195340000,193702061,1507922082,2017-10-13 19:14:42,2011-08-24 21:07:01,FALSE,None,TRUE,3,1
BaR5O3MF8Zm,1626332650439950000,193873959.8,1508093981,2017-10-15 18:59:41,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BarI8-_F_Lq,1633438665023160000,194721062.8,1508941084,2017-10-25 14:18:04,2011-08-24 21:07:01,FALSE,None,TRUE,8.866,1
BaUlj0BFrL1,1627090554143030000,193964309,1508184330,2017-10-16 20:05:30,2011-08-24 21:07:01,FALSE,None,TRUE,51.885,1
BaXEbXNloUC,1627789262853670000,194047601.6,1508267623,2017-10-17 19:13:43,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BaxQEqflsJk,1635158828961420000,194926122.3,1509146144,2017-10-27 23:15:44,2011-08-24 21:07:01,FALSE,None,TRUE,4.8,1
Bb46TdKF3ID,1655329286734180000,197330628.2,1511550667,2017-11-24 19:11:07,2011-08-24 21:07:18,FALSE,None,TRUE,13,18
B-bAtu8HEmQ,2277417179342980000,271489284,1585709305,2020-04-01 2:48:25,2011-08-24 21:07:01,TRUE,8,FALSE,None,1
BbdNxuzlx3j,1647533630804140000,196401313.6,1510621335,2017-11-14 1:02:15,2011-08-24 21:07:01,FALSE,None,TRUE,44.711,1
BbewmljFc5M,1647968271553910000,196453126.9,1510673148,2017-11-14 15:25:48,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BbfuLrKlEHz,1648239101043030000,196485412.2,1510705433,2017-11-15 0:23:53,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BbKFri9l69-,1642149996840600000,195759534.5,1509979556,2017-11-06 14:45:56,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BbLCCw3llDW,1642415475110860000,195791181.9,1510011203,2017-11-06 23:33:23,2011-08-24 21:07:01,FALSE,None,TRUE,59.935,1
BbltHuRldRg,1649923281317650000,196686182.2,1510906203,2017-11-17 8:10:03,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Bbs4PIKlkKg,1651942493502460000,196926891,1511146912,2017-11-20 3:01:52,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BbuwouhFTLu,1652472018250310000,196990015.3,1511210037,2017-11-20 20:33:57,2011-08-24 21:07:01,TRUE,8,FALSE,None,1
BbzbWCylFZJ,1653785750255460000,197146624.4,1511366646,2017-11-22 16:04:06,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bc18TDpl-Mn,1672508029017780000,199378493.9,1513598564,2017-12-18 12:02:44,2011-08-24 21:07:50,FALSE,None,TRUE,10,50
Bc2Q7gkF7xg,1672598769773300000,199389311,1513609392,2017-12-18 15:03:12,2011-08-24 21:08:00,FALSE,None,TRUE,10,60
Bc39rVZFSOw,1673077045335500000,199446325.9,1513666347,2017-12-19 6:52:27,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bc5fP_KleiK,1673506174602180000,199497482.1,1513717503,2017-12-19 21:05:03,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Bc5l6Pdl4KN,1673535466598010000,199500974,1513720995,2017-12-19 22:03:15,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Bc5Pi67l-oI,1673437106981560000,199489248.6,1513709270,2017-12-19 18:47:50,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bc5spM7l_Ke,1673565081974600000,199504504.4,1513724526,2017-12-19 23:02:06,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bc5X7cqll3V,1673473976843000000,199493643.9,1513713665,2017-12-19 20:01:05,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bc6JK-YlrFa,1673690548119450000,199519461.2,1513739685,2017-12-20 3:14:45,2011-08-24 21:10:23,FALSE,None,TRUE,19,203
Bc785USlFcg,1674199508085660000,199580133.9,1513800262,2017-12-20 20:04:22,2011-08-24 21:08:48,FALSE,None,TRUE,4,108
BcAYUuoFq_k,1657431640442840000,197581248.3,1511801473,2017-11-27 16:51:13,2011-08-24 21:10:24,FALSE,None,TRUE,60,204
BcBZHzVlHnD,1657716625171050000,197615221.2,1511835294,2017-11-28 2:14:54,2011-08-24 21:07:52,FALSE,None,TRUE,14,52
BcEoRbzlzoV,1658627682727310000,197723827.7,1511943849,2017-11-29 8:24:09,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BcGBo6TFhHV,1659020722155430000,197770681.6,1511990703,2017-11-29 21:25:03,2011-08-24 21:07:01,TRUE,4,FALSE,None,1
BcIZJ2iFpFi,1659687090878060000,197850119,1512070140,2017-11-30 19:29:00,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
BcpnCzxFYNx,1669036853754690000,198964697.6,1513184835,2017-12-13 17:07:15,2011-08-24 21:08:57,FALSE,None,TRUE,16,117
Bc-q5znlEKv,1674964801816900000,199671364,1513891385,2017-12-21 21:23:05,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
BcSyPoSFCZS,1662612188823820000,198198817.8,1512418922,2017-12-04 20:22:02,2011-08-24 21:08:24,FALSE,None,TRUE,60,84
BcvgkuuFYib,1670697248332550000,199162632,1513382737,2017-12-16 0:05:37,2011-08-24 21:08:24,FALSE,None,TRUE,60,84
Bcya2XpFBwj,1671516497154150000,199260294.1,1513480379,2017-12-17 3:12:59,2011-08-24 21:08:04,FALSE,None,TRUE,32,64
Bd6_lxBl6R9,1691944282221950000,201695475.8,1515915497,2018-01-14 7:38:17,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bd6TlmMl9iQ,1691750756548860000,201672405.8,1515892538,2018-01-14 1:15:38,2011-08-24 21:08:52,FALSE,None,TRUE,60,112
B_d-bQqHaqM,2296265937224840000,273736231,1587956252,2020-04-27 2:57:32,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
B-DOg3yHe67,2270722468695900000,270691212.3,1584911233,2020-03-22 21:07:13,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
BdTWjLWFZHT,1680786260325930000,200365336,1514585357,2017-12-29 22:09:17,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B_dVV8vH00M,2296085252329660000,273714691.7,1587935581,2020-04-26 21:13:01,2011-08-24 21:21:29,FALSE,None,TRUE,39.7,869
Be3aHbyl_eY,1708949443695870000,203722649.1,1517942670,2018-02-06 18:44:30,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Be3bHWtFQZP,1708953836281200000,203723172.7,1517943194,2018-02-06 18:53:14,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Be3-eHdFyHL,1709109332082630000,203741709.2,1517961766,2018-02-07 0:02:46,2011-08-24 21:07:36,FALSE,None,TRUE,10,36
Be3X_xLFo2r,1708940120806560000,203721537.7,1517941559,2018-02-06 18:25:59,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Be3YzXAFLfR,1708943666117390000,203721960.3,1517941982,2018-02-06 18:33:02,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Be3YZYFlhlR,1708941880577100000,203721747.5,1517941769,2018-02-06 18:29:29,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Be3ZYvRFM25,1708946234793050000,203722266.5,1517942288,2018-02-06 18:38:08,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeA12itlI6z,1693590304480070000,201891697,1516111794,2018-01-16 14:09:54,2011-08-24 21:08:17,FALSE,None,TRUE,35,77
BeBfSnjFGvB,1693772553724910000,201913422.8,1516133576,2018-01-16 20:12:56,2011-08-24 21:09:13,FALSE,None,TRUE,20,133
BeblCXzF7Hf,1701116174975610000,202788850.7,1517008872,2018-01-26 23:21:12,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeDvXSvFsay,1694406193672800000,201988958.6,1516208980,2018-01-17 17:09:40,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeE_5Rml2rE,1694760372639590000,202031180,1516251201,2018-01-18 4:53:21,2011-08-24 21:07:01,TRUE,3,Contains at least one video,None,1
BeGzcHIFSYe,1695268541920780000,202091758.5,1516311780,2018-01-18 21:43:00,2011-08-24 21:07:01,TRUE,2,Contains at least one video,None,1
BeMQLBKls9c,1696802285521650000,202274595,1516494616,2018-01-21 0:30:16,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Beo6NM3FcNy,1704868452819650000,203236157,1517456178,2018-02-01 3:36:18,2011-08-24 21:07:00,TRUE,5,FALSE,None,0
BerrpBzFLWq,1705648819319130000,203329184,1517549205,2018-02-02 5:26:45,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
BeSR7qQFmqs,1698498876078980000,202476844.3,1516696866,2018-01-23 8:41:06,2011-08-24 21:07:01,TRUE,3,Contains at least one video,None,1
BeT_Wq-Fd6x,1698980119346270000,202534213,1516754416,2018-01-24 0:40:16,2011-08-24 21:10:03,FALSE,None,TRUE,58,183
BeUwadXlgM2,1699195883898670000,202559934.1,1516780054,2018-01-24 7:47:34,2011-08-24 21:08:39,FALSE,None,TRUE,10,99
BeV8a_hlOYQ,1699530172108430000,202599784.4,1516819806,2018-01-24 18:50:06,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeV8DRLl1Gd,1699528541799400000,202599590,1516819611,2018-01-24 18:46:51,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BeV8fNUF89V,1699530461792420000,202599818.9,1516819840,2018-01-24 18:50:40,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeV8JNUlFSZ,1699528949972100000,202599638.7,1516819660,2018-01-24 18:47:40,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeV8mCqFvFi,1699530931386640000,202599874.9,1516819896,2018-01-24 18:51:36,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeV8PO3FvJx,1699529363941680000,202599688,1516819709,2018-01-24 18:48:29,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BeV8Wf8F8YW,1699529863315570000,202599747.6,1516819769,2018-01-24 18:49:29,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BeXchJzFkhJ,1699952807921470000,202650166.5,1516870188,2018-01-25 8:49:48,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BexFc9EFLhI,1707169713694750000,203510488.7,1517730660,2018-02-04 7:51:00,2011-08-24 21:09:31,FALSE,None,TRUE,60,151
BeyyF34F0wO,1707647514646630000,203567447,1517787468,2018-02-04 23:37:48,2011-08-24 21:07:00,TRUE,7,FALSE,None,0
BeZvrmlF4Ux,1700600038857080000,202727322.4,1516947344,2018-01-26 6:15:44,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
Bf1YFvTlxbl,1726391979674640000,205801961.4,1520022241,2018-03-02 20:24:01,2011-08-24 21:11:19,FALSE,None,TRUE,19,259
Bf2N3eClqJg,1726628493574710000,205830156,1520050177,2018-03-03 4:09:37,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Bf2NvI3F4TE,1726627921077440000,205830087.8,1520050109,2018-03-03 4:08:29,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bf2NyxAl2i6,1726628170344920000,205830117.5,1520050139,2018-03-03 4:08:59,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B-F3_e9HMV1,2271467842200980000,270780067.7,1585000089,2020-03-23 21:48:09,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
Bf99ASSl5yJ,1728806132456590000,206089750.8,1520309805,2018-03-06 4:16:45,2011-08-24 21:07:34,FALSE,None,TRUE,14,34
Bf_AmmQl7CK,1729103434354240000,206125192,1520345234,2018-03-06 14:07:14,2011-08-24 21:07:22,FALSE,None,TRUE,14,22
BfFKLwnlfiS,1712820021867440000,204184057.9,1518404079,2018-02-12 2:54:39,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BfH_3kLF_m_,1713619078580010000,204279312.9,1518499397,2018-02-13 5:23:17,2011-08-24 21:08:04,FALSE,None,TRUE,60,64
BfNEHiPlaFq,1715045143089100000,204449313.1,1518669591,2018-02-15 4:39:51,2011-08-24 21:11:17,FALSE,None,TRUE,15,257
BfrKljwFqcr,1723517843872850000,205459337.7,1519679556,2018-02-26 21:12:36,2011-08-24 21:10:18,FALSE,None,TRUE,15,198
BfscJ5pFcRH,1723876583046240000,205502102.7,1519722159,2018-02-27 9:02:39,2011-08-24 21:07:36,FALSE,None,TRUE,10,36
BfxMwyWl0TJ,1725216261418730000,205661804.8,1519881826,2018-03-01 5:23:46,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BfzNMSzFcC6,1725781101635810000,205729139,1519949195,2018-03-02 0:06:35,2011-08-24 21:07:35,FALSE,None,TRUE,4.8,35
Bg4v--tFOso,1745355891727990000,208062635.9,1522282759,2018-03-29 0:19:19,2011-08-24 21:08:43,FALSE,None,TRUE,45,103
Bg9Q8kiFxZk,1746626761629050000,208214135.4,1522434157,2018-03-30 18:22:37,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BgAc7dDlfGN,1729509487860380000,206173597.3,1520393703,2018-03-07 3:35:03,2011-08-24 21:08:25,FALSE,None,TRUE,59,85
BgBDVu9lHRA,1729678419560790000,206193735.5,1520413829,2018-03-07 9:10:29,2011-08-24 21:08:13,FALSE,None,TRUE,9,73
BgC7TtilrR9,1730206046176590000,206256633.5,1520476707,2018-03-08 2:38:27,2011-08-24 21:07:53,FALSE,None,TRUE,9,53
BgcppACli4Z,1737446693707070000,207119786,1521339834,2018-03-18 2:23:54,2011-08-24 21:07:28,FALSE,None,TRUE,38,28
Bge0sieFkVS,1738058265299140000,207192691,1521412808,2018-03-18 22:40:08,2011-08-24 21:08:36,FALSE,None,TRUE,6.933,96
BgEgOhwFtqT,1730649892618430000,206309544.2,1520529588,2018-03-08 17:19:48,2011-08-24 21:07:23,FALSE,None,TRUE,10,23
BgEmC6TFtXU,1730675482620780000,206312594.7,1520533367,2018-03-08 18:22:47,2011-08-24 21:19:32,FALSE,None,TRUE,60,752
BgeUW8CFm-n,1737916043429830000,207175736.8,1521395758,2018-03-18 17:55:58,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
BgHcs8zFGvI,1731478815988020000,206408359.5,1520629078,2018-03-09 20:57:58,2011-08-24 21:18:38,FALSE,None,TRUE,8,698
Bgj5BallIGK,1739484667013530000,207362731.3,1521582781,2018-03-20 21:53:01,2011-08-24 21:07:29,FALSE,None,TRUE,5.7,29
Bgja9bJFpq8,1739352451336020000,207346970,1521567034,2018-03-20 17:30:34,2011-08-24 21:07:43,FALSE,None,TRUE,6.798,43
BgKN17IlP-_,1732257886909040000,206501232,1520721396,2018-03-10 22:36:36,2011-08-24 21:09:23,FALSE,None,TRUE,60,143
BgMO578lUDo,1732825510659310000,206568898,1520789136,2018-03-11 17:25:36,2011-08-24 21:10:37,FALSE,None,TRUE,60,217
BgnJ46olhIc,1740403274669230000,207472237.9,1521692259,2018-03-22 4:17:39,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
BgoGkTiFFiL,1740670139131780000,207504050.6,1521724072,2018-03-22 13:07:52,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BgoYUQ-FwzD,1740748201706070000,207513356.4,1521733378,2018-03-22 15:42:58,2011-08-24 21:07:01,TRUE,5,FALSE,None,1
BgPC7wRFh-W,1733617283929350000,206663284.8,1520883306,2018-03-12 19:35:06,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BgPCxp1lifO,1733616589830760000,206663202,1520883223,2018-03-12 19:33:43,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BgRInQsl2nG,1734205213874020000,206733371.5,1520953578,2018-03-13 15:06:18,2011-08-24 21:10:06,FALSE,None,TRUE,15,186
BgrNfBwFV5k,1741544987697700000,207608340.7,1521828362,2018-03-23 18:06:02,2011-08-24 21:07:01,TRUE,8,FALSE,None,1
BgSow94lldX,1734628093334020000,206783782.6,1521003804,2018-03-14 5:03:24,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bgufzgsl1bm,1742469985081970000,207718609,1521938630,2018-03-25 0:43:50,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BgWnv9fl0E-,1735749526055500000,206917467.8,1521137489,2018-03-15 18:11:29,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BgwuGNllspV,1743095792838040000,207793211.1,1522013232,2018-03-25 21:27:12,2011-08-24 21:07:00,TRUE,2,Contains at least one video,None,0
BgyuB46FQOr,1743658445708790000,207860284.5,1522080337,2018-03-26 16:05:37,2011-08-24 21:07:32,FALSE,None,TRUE,4.5,32
Bgzkh82lzXu,1743898143480040000,207888858.7,1522108880,2018-03-27 0:01:20,2011-08-24 21:07:01,TRUE,2,Contains at least one video,None,1
Bh5b4fhlTf0,1763563358488180000,210233135,1524453272,2018-04-23 3:14:32,2011-08-24 21:08:56,FALSE,None,TRUE,15,116
Bh5FfDglyUj,1763464853396600000,210221392.3,1524441414,2018-04-22 23:56:54,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bh5Kva2FMig,1763487968197400000,210224147.8,1524444175,2018-04-23 0:42:55,2011-08-24 21:07:07,FALSE,None,TRUE,7,7
Bh8YNfIFxKK,1764391633913580000,210331873.2,1524551894,2018-04-24 6:38:14,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BhBJCOMlD64,1747717865497440000,208344205.1,1522564226,2018-04-01 6:30:26,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BhCuEL9lRQt,1748162203234930000,208397174.3,1522617216,2018-04-01 21:13:36,2011-08-24 21:07:21,FALSE,None,TRUE,6.166,21
BheOtaolF5u,1755905598346780000,209320258.9,1523540347,2018-04-12 13:39:07,2011-08-24 21:08:08,FALSE,None,TRUE,7.166,68
BhetsovFpdc,1756041884210730000,209336505.4,1523556527,2018-04-12 18:08:47,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BhlMMoXF9QK,1757864874087010000,209553822.8,1523773844,2018-04-15 6:30:44,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BhnBdTfFiDx,1758380591345440000,209615301.1,1523835455,2018-04-15 23:37:35,2011-08-24 21:09:13,FALSE,None,TRUE,5.838,133
BhpnlAFFKD0,1759111195984700000,209702395.9,1523922463,2018-04-16 23:47:43,2011-08-24 21:07:47,FALSE,None,TRUE,32,47
BhPXLj0F1c4,1751720729509320000,208821383.7,1523041405,2018-04-06 19:03:25,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
BhVW1kQFrRf,1753408068010820000,209022530.1,1523242587,2018-04-09 2:56:27,2011-08-24 21:07:36,FALSE,None,TRUE,4.933,36
BhW-bI8lD6H,1753863648823230000,209076839.5,1523296905,2018-04-09 18:01:45,2011-08-24 21:07:45,FALSE,None,TRUE,10,45
BhX1CydFxUL,1754103867963280000,209105475.9,1523325539,2018-04-10 1:58:59,2011-08-24 21:07:43,FALSE,None,TRUE,6.933,43
Bi00ByCFQB2,1780276573578260000,212225505.5,1526445527,2018-05-16 4:38:47,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
B-i0HZ7HaFw,2279613568693150000,271751114,1585971135,2020-04-04 3:32:15,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
Bi0WxHSF5uv,1780147884815520000,212210164.6,1526430186,2018-05-16 0:23:06,2011-08-24 21:07:01,TRUE,2,Contains at least one video,None,1
Bi1EUHKlY7s,1780348201964240000,212234044.3,1526454091,2018-05-16 7:01:31,2011-08-24 21:07:26,FALSE,None,TRUE,12,26
